;Présentation;Site web;Téléphone;Secteur;Taille de l’entreprise;Siège social;Fondée en;Spécialisations;Name;Url;Image
10;"Astrolab is an IT development company, since its establishment in 2015 in Tunisia, it offers to its customers: accompaniment, adaptability, productivity, and responsiveness through expertise in technology, industry, consulting and marketing.
With our customer-oriented feature, Astrolab service is devoted to providing professional engagement to clients throughout the world.
We are present in Paris, Doha, Sousse Tunisia, and many more investments in the future offering digital innovation solutions that respect Agility and performance challenges.
We certainly help you meet your goals wherever you are with unique and custom client support to ensure your satisfaction.
";http://astrolab-agency.com;;Services et conseil informatiques;11-50 employés;Sousse, Sousse;2015;iOS Apps, Android Apps, Web Solutions, Cloud Solutions, E-Commerce, UI Design, UX Design, UX Prototyping, IT Consulting, VR Experiences et VR Games;Astrolab;https://www.linkedin.com/company/11162692/about/;1116As
11;"Nous sommes un groupe mondial de référence dans l’énergie bas carbone et les services. Notre raison d’être est d’agir pour accélérer la transition vers un monde neutre en carbone, grâce à des solutions plus sobres en énergie et plus respectueuses de l’environnement, en conciliant performance économique et impact positif sur les personnes et la planète. Nous nous appuyons sur nos métiers clés (gaz, énergies renouvelables, services) pour proposer des solutions compétitives à nos clients. Avec nos 170 000 collaborateurs, nos clients, nos partenaires et nos parties prenantes, nous formons une communauté d’Imaginative Builders, engagés chaque jour pour un progrès plus harmonieux.

Chiffre d’affaires en 2019 : 60,1 milliards d’euros. Coté à Paris et Bruxelles (ENGI), le Groupe est représenté dans les principaux indices financiers (CAC 40, DJ Euro Stoxx 50, Euronext 100, FTSE Eurotop 100, MSCI Europe) et extra-financiers (DJSI World, DJSI Europe et Euronext Vigeo Eiris - World 120, Eurozone 120, Europe 120, France 20, CAC 40 Governance).";http://www.engie.com;;Fabrication de semi-conducteurs pour énergies renouvelables;10 001 employés et plus;;;Energie, Services, Gaz et Electricité;ENGIE;https://www.linkedin.com/company/298246/about/;2982EN
12;"Dataleon provides the best Machine Learning tools for data automation and processing. Ready-to-use API for data recognition and extraction are available to accelerate your digital transformation powered by artificial intelligence.

To resolve in the best way your company’s issues, our team works hard to develop innovative automation and adjustable solutions available in the cloud with IA.

Our mission - less code and safer API for cloud lovers powered by IA";http://dataleon.ai;09 74 59 71 55;Développement de logiciels;11-50 employés;Paris, Île-de-France;2016;Artificial Intelligence, Automation, Digital Transformation, Workflow, GraphQL, serverless, API, microservices, Machine Learning, Deep Learning , Computer Vision, OCR et No code;Dataleon;https://www.linkedin.com/company/10618202/about/;1061Da
13;"IT Gate Is a Software Development and IT services group created in 2015.It is specialized in Showcase website, Web and Mobile applications creation, Graphic design, Community Management, Web referencing, with a strong creative and technological component.

Our Vision
Everyday Better and Easy life.

Our mission 
To provide personalized IT services to help its customers whatever their size, to improve their capacities in terms of agility band responsiveness and to cope with the challenges of digital transformation.

Our Values 
•	Create and embrace change for a better future.
•	A joy for work and life.
•	Our greatest capability lies in teamwork without boundaries.
•	The pursuit of excellence is in our nature
•	Being open brings us together effortlessly

Our team is a gathering of young and dynamic developers who meet the needs of its business partners and accompany them throughout their projects.
The Group aims to continue its growth in its main markets in Europe, Noth Africa and Middle East.
";https://itgate-group.com/;(+216)21089143;Services et conseil informatiques;11-50 employés;Sousse, Sousse;2015;Développement Web et Mobile, Référencement, Infogérance et Réseaux, Formation, Systèmes Embarqués , Design Graphique, Infography, Web Marketing , Web Development et Mobile Development;ITGate Group;https://www.linkedin.com/company/10892221/about/;1089IT
14;Somos uma empresa de soluções de negócio, que utiliza da tecnologia para monetização de dados e analytics, transformando-os em resultados concretos, de forma rápida, amigável e escalável. Por isso automatizamos e aceleramos todo o processo da cadeia de dados em prol da estratégia de empresas e pessoas que sabem o valor dos dados e querem dar um salto de resultados, compreendendo que ser ágil e data driven é crucial para atingir o sucesso num mercado cada vez mais global e em transformação digital, no Brasil, no mundo, na internet, na palma da sua mão.;http://www.powerofdata.com.br;11981777271;Services et conseil informatiques;11-50 employés;;2018;Data Science , Consultoria, Analytics, Finanças, Machine Learning, BI, Inteligência Artificial , Deep Learning, TI , Big Data et Data Solutions;PowerOfData ;https://www.linkedin.com/company/28625603/about/;2862Po
15;"Jumia is a leading e-commerce platform in Africa. It is built around a marketplace, Jumia Logistics, and JumiaPay. The marketplace helps millions of consumers and sellers to connect and transact. Jumia Logistics enables the delivery of millions of packages through our network of local partners. JumiaPay facilitates the payments of online transactions for Jumia's ecosystem. With over 1 billion people and 500 million internet users in Africa, Jumia believes that e-commerce is making people's lives easier by helping them shop and pay for millions of products at the best prices wherever they live. E-commerce is also creating new opportunities for SMEs to grow, and job opportunities for a new generation to thrive.

With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating sustainable impact in Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs, new skills, and empowering a new generation.
";https://group.jumia.com/;;Édition sur Internet;1 001-5 000 employés;Ikeja , Lagos;2012;E-Commerce, Africa, Internet et Shopping Online;Jumia Group;https://www.linkedin.com/company/3190066/about/;3190Ju
16;"Marketing Méditerranée Tunisie est la première Junior Entreprise en activité en Tunisie, basée à l’Institut des Hautes Etudes Commerciales (IHEC) à Carthage. Son lancement a été possible suite à la signature d’une convention de partenariat avec Marketing Méditerranée de KEDGE Business School Marseille, l’une des JE les plus réputées et les plus performantes de France.

Grâce à la diversité des cursus de l’Institut des Hautes Etudes Commerciale de Carthage, Marketing Méditerranée Tunisie propose un panel de prestations variées et complémentaires s’adaptant parfaitement aux besoins de ses clients.

En Marketing (Etude sectorielle, Etude de lancement, Enquête satisfaction)

En Communication (Etude de notoriété, Etude d’image, Plan de communication)

Et en Finance (Plan de financement, Business Plan)


Ayant auparavant collaboré avec des géants de l'écosystème professionnel à l'instar d'Air France KLM Tunisie, ou encore le plus grand distributeur de produits cosmétiques FATALES, Marketing Méditerranée Tunisie dispose de larges références en terme d'études de marché.";http://www.mmt.tn;+216 29 230 083;Services et conseil aux entreprises;11-50 employés;Tunis, Carthage;2005;Marketing, Finance, Ressources Humaines, Communication, Formations et Evénementiel;Marketing Méditerranée Tunisie - MMT;https://www.linkedin.com/company/10106646/about/;1010Ma
17;"AIESEC is the world's largest youth led, leadership development organisation.

Operating in 124 countries and territories AIESEC aims to activate youth leadership by empowering students and graduates to run an international exchange program.

We provide our members with an integrated development experience comprised of leadership opportunities, international internships and participation in a global learning environment.

Get more information about AIESEC and what it can provide to student and Businesses,
visit our website: http://aiesec-tunisia.org/";http://aiesec.com.tn;;Organisations à but non lucratif;501-1 000 employés;Manar, Tunis;1962;Global Leaders, Global Talents, Global Citizens et Leadership;AIESEC Tunisia;https://www.linkedin.com/company/2693689/about/;2693AI
18;Mobelite est une agence spécialisée dans le conseil en stratégie mobile, la conception et le développement d’applications mobiles et de sites web et le marketing mobile. Mobelite est forte d’une équipe d’experts dans la réalisation d’applications mobiles sur les plateformes les plus répandues et les applications Web. Mobelite dispose d’équipes commerciales et marketing à Paris (France), et d’équipes de développement à Tunis et Monastir (Tunisie).;https://www.mobelite.fr;+21631313737;Services et conseil informatiques;51-200 employés;Monastir, Monastir;2012;Développement Web, Développement Mobile, SCRUM, Développement Hybride, Développement iOS, Développement Android, Développement Kotlin, Test & Qualité et seo;Mobelite Tunisie;https://www.linkedin.com/company/13030480/about/;1303Mo
19;"XQuant was created in 2018 to deliver services to financial institutions which are increasingly interested in using AI to improve their decision process and operational efficiency.

Having worked for many years in the financial industry, we have identified many needs and inefficiencies. We’ve set up XQuant to create software using the most advanced technologies to answer those needs.";http://www.xquant-ai.com;;Développement de logiciels;11-50 employés;;2019;;XQuant;https://www.linkedin.com/company/28767145/about/;2876XQ
20;"Pentabell est une société privée, leader dans le domaine du recrutement et créée depuis 2005 en tant qu'entreprise individuelle.

Au cours des dix dernières années, Pentabell a connu une croissance exponentielle pour devenir aujourd'hui un groupe mondial opérant dans plus de 20 pays à travers le monde, avec plus de 500 employés.

""TIPS THE SCALES IN YOUR FAVOR"" est la promesse à tenir.

Pentabell vous accompagne dans vos projets pour les rendre plus rentables et efficaces.

Ses principaux domaines de spécialités sont : le conseil, la paie, la logistique, la réinstallation, le recrutement, l'externalisation, l'assistance technique et le déploiement.";https://www.pentabell.com;;Recrutement;501-1 000 employés;Paris, Ile-de-France;2005;Consulting, Logistics, Relocation, Recruitment, Outsourcing, Technical Assistance, Deployment et Payroll;PENTABELL;https://www.linkedin.com/company/1859573/about/;1859PE
21;;https://www.products.itssglobal.com/;;Services et conseil informatiques;201-500 employés;;;;"ITSS GLOBAL ""Information Technology Solutions & Services""​";https://www.linkedin.com/company/14051956/about/;1405IT
22;was founded to bring to the Oil and Gas industry the power of the true integration of Geology, Geophysics and Geomechanics or The Power of 3G. The seamless integration of these three major disciplines is a requirement for an intelligent development of unconventional resources where the fracing and its geomechanical characteristics affects considerably the size and the quality of the Stimulated Reservoir Volume (SRV). However, the rock geomechanical properties and the success of a frac job depends entirely on the geology of the unconventional resources. This shale geology varies substantially areally and vertically and could be mapped in 3D using geophysics. Artificial Intelligence algorithms could turn the well and seismic data into 3D reservoir models that will provide intelligent engineering solutions to place the pads at the optimal surface locations, to land the horizontals at the right depth, to guide the geosteering of the wells and to provide the optimal fracing locations along the wellbore. The 3D geomechanical design of the frac stages will provide the optimal fracing parameters that optimize the size and quality of the SRV thus creates the highest EUR and NPV.;http://www.gogeo.biz;;Industrie pétrolière et gazière;11-50 employés;;2011;Reservoir characterization & modelling, simulation and engineering, Geomechanics et Frac Design and optimization;GO GEOENGINEERING;https://www.linkedin.com/company/9343856/about/;9343GO
23;"Convergen is a digital and creative agency providing intelligent ad solutions that grow brands through their website performance.
We help our clients increase their website's Conversion while optimizing their ROAS with our winning combination of expert media buying, creativity, and talent.
From Social Media channels to Website Conversion, we deliver the perfect combination of creative and paid media expertise to maximise website’s ROAS.
At Convergen, we lead with customer-data strategies first : from data analysis, we make digital media plans, figure out KPI's and scale them.
In God we trust, all others must bring data !";http://www.convergen.io;+216 52 660 190;Services de publicité;11-50 employés;Tunis, Tunis;2019;Facebook & Instagram Advertising, Google & Youtube Advertising, Creative Studio, Messenger & Email Marketing, Full Stuck Web development et Search Engine Optimization;Convergen;https://www.linkedin.com/company/30662354/about/;3066Co
24;"We deliver Market insights, Sales tracking and Audiences measurement to the Entertainment Industry. We do this by collecting both product sales and streaming data like no other.

Alongside a global team of market and IT specialists, our industry-leading platform is continuously evolving to collect, clean, enrich and deliver data to the world’s largest video games publishers and distributors.

We enable you to make data-based decisions through market & sales insights, engagement analytics and specialized advisory services. 

Our services include:

- Market Insights Services
To identify market trends and assess your performance against the competition
	
- Cockpit solutions
Custom-made solutions to pilot your physical and digital business

- Audience measurement
We measure viewership, engagement and live events 
";https://www.sparkers.com/;;Services et conseil informatiques;51-200 employés;;2020;;Sparkers;https://www.linkedin.com/company/1543995/about/;1543Sp
25;"VERMEG is a specialised software house covering three main market segments in financial services: Banking, Capital Markets and Insurance.
Our business solutions are designed to address the challenges linked to the transformation of the financial services industry. As information system architects, we ensure our clients can achieve cost reductions and Time-To-Market control in the modernisation of their information systems. In addition to offering standard software solutions that meet evolving digitised needs, Vermeg provides tailor-made solutions based on our own tools, project and business expertise. VERMEG has over 1300 employees, with presence in Australia, Belgium, Brazil, China, UK, France, Germany, Japan, Hong Kong, Luxembourg, Mexico, Netherlands,Singapore, Spain, Tunisia and United States. The company supports more than 500 clients in 40 countries.

VERMEG est un éditeur de solutions logicielles spécialisées, couvrant les principaux marchés des services financiers: Banque, Marchés de Capitaux et Assurances. Ses solutions métiers ont été conçues pour adresser les enjeux de la transformation actuelle et future de l'industrie de la finance, mais aussi pour accompagner ces acteurs dans la refonte de leur système d’information ; à travers la réduction de leurs coûts, la maitrise de leur Time-To-Market et la modernisation de leurs systèmes d'information. VERMEG fournit non seulement des solutions logicielles standards, capables de répondre aux besoins d’évolution, de transformation et de digitalisation mais aussi des solutions sur mesure, s’appuyant sur ses propres outils, ses compétences projet, sa propre expérience d’éditeur et son expertise métier. VERMEG compte plus de 1300 collaborateurs. L’entreprise est présente en Allemagne, Australie, Belgique, Brésil, Chine, Espagne, États-Unis,France, Hong Kong, Japon, Luxembourg, Mexique, Pays- Bas, Royaume-Uni, Singapour et Tunisie. Elle soutient aujourd’hui l’activité de plus de 500 clients.";http://www.vermeg.com;;Services et conseil informatiques;1 001-5 000 employés;;1993;STP solutions provider, fund and securities processing industry., Insurance, Wealth Management, Asset Management et Digital Financial Services;VERMEG for Banking & Insurance Software;https://www.linkedin.com/company/38256/about/;3825VE
26;"Crée en 1998, Wevioo est un groupe international de conseil et de services numériques.  

Wevioo accompagne ses clients dans leurs projets de transformation digitale. Customer-oriented, le groupe apporte son expertise et son savoir-faire dans 3 domaines : le Consulting, le Digital et la Technologie.

Avec plus de 19 années d’innovation technologique au service de ses clients, Wevioo emploie plus de 300 talents et experts métier. Présent à Paris, Dubaï, Tunis, Alger et Abidjan, Wevioo est fort de plusieurs centaines de projets exigeants menés dans plus de 30 pays d’Europe, d’Amérique du Nord, d’Afrique et du Moyen-Orient.

En partenaire engagé Wevioo apporte à ses clients des solutions d’innovation digitale parfaitement adaptées à leurs enjeux d’agilité, de performance et de développement à l’international.

Avec une culture de l’innovation au cœur de son ADN, Wevioo investit  dans la R&D pour apporter à ses clients et partenaires des expertises à la pointe des technologies les plus récentes et des solutions les plus innovantes.

Site web: www.wevioo.com";http://www.wevioo.com;;Services et conseil informatiques;201-500 employés;Tunis, Tunisia;1998;Management Consulting, Technology Consulting, Digital Transformation, Software Engineering, Embedded Systems, Application Management, Nearshore Outsourcing et MEA International projects;WEVIOO;https://www.linkedin.com/company/70279/about/;7027WE
27;"Navire amiral d’un groupe technologique, 3S , l’entreprise Agile, est parvenu, au fil de ses 32 ans d’existence, à se positionner en tant que leader sur le marché de l’intégration et des services à valeur technologique en Tunisie et en Afrique du Nord.

Cœur du pôle IT du groupe, 3S a su jouer le rôle de précurseur dans un marché en mutation fulgurante. 
Avec 370 compétences, hautement qualifiées et aguerries, dont près des deux tiers sont ingénieurs ou techniciens dotés de plus de 300 certifications, nous sommes à l’avant-garde des technologies de demain.

Cinq principaux atouts font notre force
   > La maîtrise des technologies émergentes
   > L’expertise technologique labellisée selon les standards internationaux
   > La couverture technologique étendue permettant d’offrir des solutions de bout en bout
   > Le support technique basé sur un processus efficace de résolution des incidents.
   > L’assise financière solide

Notre parcours a été jalonné par une série de certifications prestigieuses  (Cisco, Vmware, Microsoft, EMC, IBM, Fortinet). 
Des distinctions assorties d’un processus rigoureux de formation et d’examens.

Toujours à l’avant-garde des technologies émergentes, 3S a réussi à étendre son spectre technologique et à anticiper les besoins de ses clients. 
Notre conviction est qu’il y a autant de solutions, que d’entreprises. D’où notre souci d’offrir  à nos clients des solutions sur mesure performantes et sécurisées dans les secteurs qui forment le cœur de cible de nos activités : intégration systèmes, Datacenter, Cloud Computing, intégration réseaux et infrastructure , communication unifiées et collaboration,  et vidéosurveillance.";https://www.3s.com.tn;;Services et conseil informatiques;201-500 employés;Tunis, Tunisie;1988;Sécurité & Réseaux, Datacenter, Vidéosurveillance & Analytique, Collaboration & Communication unifiée, Cloud Computing, Cloud privé, hybride et public, IPTV, Affichage dynamique, Smart Technologies, Infrastructure d'Entreprise, IoT et Smart Grid;3S Standard Sharing Software;https://www.linkedin.com/company/11004440/about/;11003S
28;Producing Hydrocarbons;http://www.etap.com.tn;;Industrie pétrolière et gazière;501-1 000 employés;;;;ETAP;https://www.linkedin.com/company/809674/about/;8096ET
29;As a leading European supplier with many years of experience, SDZ GmbH is a professional and expert partner to help your customers achieve optimisation throughout the value creation chain. Our business segments Simulation, Logistics, Supply Chain Management and Advanced Planning and Scheduling are proof of our successful establishment in your markets.;http://www.sdz.de;+49 231 9750500;Transport, logistique et stockage;11-50 employés;;1986;logistics planing, Engineering, Supply chain Management, Warehouse Management, Simulation, Produktionsplanung, Digitalisierung, Scheduling, Materialflusssimulation, Lagerplanung, Tourenplanung, Demand Planning, Virtual Reality, Transportlogistik et Logistikplanung;SDZ GmbH;https://www.linkedin.com/company/905403/about/;9054SD
30;"ESPRIT est un établissement d'enseignement supérieur privé, agréé par l’Etat tunisien, fondé en 2003, à l’initiative d’universitaires rompus à l’enseignement et qui ont voulu relever le défi de créer une école privée dédiée à la formation d’ingénieurs opérationnels, initialement dans les domaines des TIC, répondant aux exigences des entreprises du secteur.

Esprit est la seule école d’ingénieurs en Afrique à proposer des programmes accrédités par la Commission des titres d’ingénieur selon le label EUR-ACE « European-Accredited Engineering Programme » aboutissant à la délivrance de diplômes conformes aux standards et référentiels européens

Esprit est la deuxième école en Tunisie à devenir membre de la Conférence des grandes écoles françaises qui regroupe l’ensemble des écoles d’ingénieurs et de management 

Esprit est la première école d'ingénieurs arabe et la deuxième école d'ingénieurs en Afrique à adhérer à CDIO-Initiative, communauté d’une centaine d’écoles d’ingénieurs de renom de par le monde

ESPRIT: Se former autrement... Pour une nouvelle génération d'ingénieurs!";http://www.esprit.tn;(+216) 70 68 56 85;Enseignement supérieur;;;;;Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT;https://www.linkedin.com/company/15134632/about/;1513Ec
31;Mobelite, agence spécialisée dans le conseil en stratégie mobile, la conception et le développement d’applications mobiles et de sites web, accompagnes les entreprises dans leur transformation digitale. mobelite est forte d’une équipe d’experts dans la conception et la réalisation d’applications mobiles sur les plateformes les plus répandues (iOS, Android, Windows Phone…) et de sites web (HTML5, PHP, responsive design, etc…).;http://www.mobelite.fr;;Services et conseil informatiques;51-200 employés;Paris, Île-de-France;2012;Conseil en Stratégie Mobile, Développement Mobile, Marketing Mobile et Développement Web;Mobelite;https://www.linkedin.com/company/2769445/about/;2769Mo
